note_id,trip_ids,stop_ids,stop_sequences
"356-nd_T","1763_10668988","",""
"356-s1_T","1763_10668909","",""
"4-PM_T","1763_9911673","",""
"4-PM_T","1763_9911681","",""
"4-PS_T","1763_9911682","",""
"431-p0_T","1763_9911423","",""
"431-p0_T","1763_9911424","",""
"431-p0_T","1763_9911425","",""
"431-p0_T","1763_9911426","",""
"431-p0_T","1763_9911646","",""
"431-p0_T","1763_9911647","",""
"431-p0_T","1763_9911654","",""
"431-p0_T","1763_9911655","",""
"431-p0_T","1763_9911656","",""
"431-p0_T","1763_9911657","",""
"431-p0_T","1763_9911660","",""
"431-p0_T","1763_9911661","",""
"431-p1_T","1763_11084320","",""
"431-p5_T","1763_11084318","",""
"433-p1_T","1763_10670855","",""
"433-p5_T","1763_10670856","",""
"433-p5_T","1763_10670857","",""
"433-p5_T","1763_9748581","",""
"433-p5_T","1763_9749885","",""
"433-p5_T","1763_9749914","",""
"434-PBe_T","1763_11291634","",""
"434-p1_T","1763_11291635","",""
"434-p1_T","1763_11291636","",""
"434-p1_T","1763_11291637","",""
"434-p1_T","1763_11291638","",""
"434-p1_T","1763_11291639","",""
"434-p1_T","1763_11291640","",""
"434-p1_T","1763_9727401","",""
"434-p1_T","1763_9727410","",""
"434-p5_T","1763_11291634","",""
"435-p1_T","1763_9748691","",""
"435-p5_T","1763_9869779","",""
"435-p5_T","1763_9869787","",""
"436-p0_T","1763_9842780","",""
"436-p5_T","1763_9842775","",""
"437-p5_T","1763_10612200","",""
"437-p5_T","1763_10612205","",""
"442-kv_T","1763_9720483","",""
"442-kv_T","1763_9720484","",""
"442-kv_T","1763_9720487","",""
"442-kv_T","1763_9720488","",""
"533-p0_T","1763_10668837","",""
"533-p0_T","1763_10668838","",""
"533-p0_T","1763_10668839","",""
"533-p0_T","1763_10668840","",""
"533-p0_T","1763_10668841","",""
"533-p0_T","1763_10668843","",""
"533-p0_T","1763_10668857","",""
"533-p0_T","1763_10668858","",""
"533-p0_T","1763_10668859","",""
"533-p0_T","1763_10668860","",""
"533-p0_T","1763_10668861","",""
"533-p0_T","1763_10668862","",""
"533-p0_T","1763_10668864","",""
"533-p0_T","1763_10668865","",""
"533-p0_T","1763_9728855","",""
"533-p0_T","1763_9869207","",""
"533-p0_T","1763_9869208","",""
"533-p0_T","1763_9869220","",""
"533-p5_T","1763_9728867","",""
"533-p5_T","1763_9869209","",""
"536-p1_T","1763_9713912","",""
"536-p1_T","1763_9713915","",""
"536-p1_T","1763_9714315","",""
"536-p1_T","1763_9714333","",""
"536-p1_T","1763_9714337","",""
"536-p1_T","1763_9714343","",""
"537-p1_T","1763_9714346","",""
"537-p1_T","1763_9728391","",""
"537-p1_T","1763_9728393","",""
"537-p1_T","1763_9865409","",""
"537-p1_T","1763_9865411","",""
"537-p1_T","1763_9865414","",""
"537-p1_T","1763_9865416","",""
"537-p5_T","1763_9865400","",""
"537-p5_T","1763_9865402","",""
"537-p5_T","1763_9869381","",""
"54-p5_T","1763_11098654","",""
"54-p5_T","1763_11098657","",""
"54-p5_T","1763_11098660","",""
"54-p5_T","1763_11098663","",""
"54-p5_T","1763_11098728","",""
"54-p5_T","1763_11098731","",""
"54-p5_T","1763_11098734","",""
"54-p5_T","1763_11098737","",""
"646-b_T","1763_10656890","",""
"646-b_T","1763_10656917","",""
"651-P1_T","1763_11495020","",""
"651-P2_T","1763_11495012","",""
"651-P2_T","1763_11495014","",""
"651-P2_T","1763_11700356","",""
"651-P3_T","1763_11495019","",""
"651-P3_T","1763_11700351","",""
"651-P4_T","1763_11495008","",""
"651-P5_T","1763_11495010","",""
"651-P6_T","1763_11495015","",""
"651-P7_T","1763_11495007","",""
"651-P7_T","1763_11495009","",""
"651-P7_T","1763_11700348","",""
"651-Q_T","1763_11491612","",""
"656-P1_T","1763_10642501","",""
"657-P1_T","1763_10571178","",""
"657-P1_T","1763_10571196","",""
"657-P1_T","1763_10571197","",""
"657-R6_T","1763_10571175","",""
"657-R6_T","1763_10571176","",""
"658-P1_T","1763_10570959","",""
"658-P1_T","1763_10642517","",""
"658-P1_T","1763_10642521","",""
"658-P1_T","1763_10642531","",""
"658-P1_T","1763_10642536","",""
"671-R5_T","1763_11084917","",""
"671-R5_T","1763_11496954","",""
"686-R5_T","1763_11087021","",""
"686-R5_T","1763_11087022","",""
"756-gb_T","1763_11301152","",""
"776-CD_T","1763_10568406","",""
"776-CF_T","1763_11291790","",""
"776-CF_T","1763_11291791","",""
"776-CF_T","1763_11291792","",""
"776-CF_T","1763_11291793","",""
"776-CP_T","1763_11291790","",""
"776-CP_T","1763_11291791","",""
"776-CP_T","1763_11291792","",""
"776-CP_T","1763_11291793","",""
"776-CS_T","1763_11291794","",""
"776-CS_T","1763_11291795","",""
"776-CS_T","1763_11291796","",""
"776-CS_T","1763_11291797","",""
"796-45_T","1763_11036108","",""
"796-45_T","1763_11495064","",""
"797-TV_T","1763_11036126","",""
"826-va_T","1763_11085140","",""
"826-va_T","1763_11696205","",""
"83-R9_T","1763_11494657","",""
"83-R9_T","1763_11495708","",""
"846-B_T","1763_11695379","",""
"858-1_T","1763_9715222","",""
"906-R7_T","1763_11086953","",""
"906-yc_T","1763_11297586","",""
"906-yc_T","1763_11297601","",""
"906-yc_T","1763_11297619","",""
"906-yc_T","1763_11297632","",""
"916-tpr_T","1763_11290008","",""
"916-tpr_T","1763_11290009","",""
"916-tpr_T","1763_11290024","",""
"916-tpr_T","1763_11290055","",""
"916-tpr_T","1763_11290065","",""
"916-tpr_T","1763_11290066","",""
"918-mc_T","1763_11498918","",""
"93-pF_T","1763_11069610","",""
"94-lm_T","1763_11290662","",""
"94-lm_T","1763_11497389","",""
"94-lm_T","1763_11497391","",""
"94-lm_T","1763_11497396","",""
"94-lm_T","1763_11497398","",""
"94-lm_T","1763_11497400","",""
"94-lm_T","1763_11497410","",""
"94-lm_T","1763_11497413","",""
"94-lm_T","1763_11497415","",""
"94-lm_T","1763_11497422","",""
"94-lm_T","1763_11497430","",""
"94-lm_T","1763_11497439","",""
"94-lm_T","1763_11497441","",""
"94-lm_T","1763_11497451","",""
"94-lm_T","1763_11497453","",""
"94-lm_T","1763_11497460","",""
"94-lm_T","1763_11497462","",""
"94-lm_T","1763_11497469","",""
"94-lm_T","1763_11497471","",""
"94-lm_T","1763_11497478","",""
"96-3_T","1763_11092860","",""
"96-3_T","1763_11092862","",""
"96-3_T","1763_11092864","",""
"96-3_T","1763_11092866","",""
"96-3_T","1763_11092879","",""
"99-nB_T","1763_11288481","",""
"99-nB_T","1763_11288483","",""
"99-nB_T","1763_11288485","",""
"99-nB_T","1763_11288743","",""
"99-nB_T","1763_11288744","",""
"99-nB_T","1763_11288745","",""
